Id	DOI	PubDate	GitHub_link	FullJournalName	Title	Phrase
36699371	10.1093/bioadv/vbac007	2023-01-26	https://py-packman.readthedocs.io/en/latest/tutorials/molecule.html, https://github.com/Pranavkhade/PACKMAN	Bioinformatics advances	PACKMAN-Molecule: Python toolbox for structural bioinformatics.	The tutorial for it is available at: https://py-packman.readthedocs.io/en/latest/tutorials/molecule.html.
36699369	10.1093/bioadv/vbac014	2023-01-26	https://github.com/schlegelp/tanglegram	Bioinformatics advances	Shuffle & untangle: novel untangle methods for solving the tanglegram layout problem.	One of the algorithms is implemented in Python, and available from https://github.com/schlegelp/tanglegram.
36699366	10.1093/bioadv/vbac066	2023-01-26	github.com/biosustain/GRASP	Bioinformatics advances	GRASP: a computational platform for building kinetic models of cellular metabolism.	GRASP is freely available at github.com/biosustain/GRASP. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699365	10.1093/bioadv/vbac088	2023-01-26	https://github.com/fengyilin118/	Bioinformatics advances	GPU-accelerated and pipelined methylation calling.	The source code of <i>Galaxy-methyl</i> is available at https://github.com/fengyilin118/.
36699364	10.1093/bioadv/vbac097	2023-01-26	https://bioconductor.org/packages/CTCF, https://dozmorovlab.github.io/CTCF/, https://github.com/dozmorovlab/CTCF.dev	Bioinformatics advances	CTCF: an R/bioconductor data package of human and mouse CTCF binding sites.	https://bioconductor.org/packages/CTCF., o/CTCF/; Code to reproduce the analyses: https://github.com/dozmorovlab/CTCF.dev.
36699362	10.1093/bioadv/vbac034	2023-01-26	https://github.com/indralab/gilda	Bioinformatics advances	Gilda: biomedical entity text normalization with machine-learned disambiguation as a service.	io with source code, documentation and tutorials available via https://github.com/indralab/gilda.
36699360	10.1093/bioadv/vbac054	2023-01-26	https://github.com/mrivarauy/QS-Quantizer	Bioinformatics advances	Nanopore quality score resolution can be reduced with little effect on downstream analysis.	Quantizers are freely available for download at: https://github.com/mrivarauy/QS-Quantizer.
36699358	10.1093/bioadv/vbac070	2023-01-26	https://github.com/mdelcorvo/TOSCA	Bioinformatics advances	TOSCA: an automated Tumor Only Somatic CAlling workflow for somatic mutation detection without matched normal samples.	TOSCA is a Snakemake-based workflow and freely available at https://github.com/mdelcorvo/TOSCA. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699357	10.1093/bioadv/vbac062	2023-01-26	https://alexyermanos.github.io/Platypus/index.html	Bioinformatics advances	Echidna: integrated simulations of single-cell immune receptor repertoires and transcriptomes.	The R package and code used in this manuscript can be found at github.com/alexyermanos/echidna and also in the R package Platypus (Yermanos <i>et al.
36699356	10.1093/bioadv/vbac004	2023-01-26	https://github.com/siheming/mspypelin, https://mspypeline.readthedocs.io	Bioinformatics advances	MSPypeline: a python package for streamlined data analysis of mass spectrometry-based proteomics.	The source code is available under the MIT license at https://github.com/siheming/mspypeline with documentation at https://mspypeline.readthedocs.io.
36699355	10.1093/bioadv/vbac074	2023-01-26	github.com/UEFBiomedicalInformaticsLab/OnlineLearningBD	Bioinformatics advances	Identifying gene expression-based biomarkers in online learning environments.	github.com/UEFBiomedicalInformaticsLab/OnlineLearningBD. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699354	10.1093/bioadv/vbac026	2023-01-26	https://gitlab.com/roettgerlab/federatedPCA, https://github.com/AnneHartebrodt/fc-federated-pca	Bioinformatics advances	Federated horizontally partitioned principal component analysis for biomedical applications.	Simulation code and notebooks for federated PCA can be found at https://gitlab.
36699348	10.1093/bioadv/vbac001	2023-01-26	https://github.com/SandraThieme/BiPredict	Bioinformatics advances	Biclique extension as an effective approach to identify missing links in metabolic compound-protein interaction networks.	BiPredict and related datasets are available at https://github.com/SandraThieme/BiPredict. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699347	10.1093/bioadv/vbac089	2023-01-26	https://github.com/AlfredUg/QuasiFlow	Bioinformatics advances	QuasiFlow: a Nextflow pipeline for analysis of NGS-based HIV-1 drug resistance data.	QuasiFlow and corresponding documentation are publicly available at https://github.com/AlfredUg/QuasiFlow. The pipeline is implemented in Nextflow and requires regular updating of the Stanford HIV drug resistance interpretation algorithm.
36699346	10.1093/bioadv/vbac086	2023-01-26	https://bioconductor.org/packages/release/data/annotation/html/synaptome.db.html, https://github.com/lptolik/synaptome.db	Bioinformatics advances	Synaptome.db: a bioconductor package for synaptic proteomics data.	The development version is maintained on GitHub (https://github.com/lptolik/synaptome.db). Full documentation including examples is provided in the form of vignettes on the package webpage.
36699344	10.1093/bioadv/vbac002	2023-01-26	https://github.com/ibivu/hydrophobic_patches	Bioinformatics advances	How sticky are our proteins? Quantifying hydrophobicity of the human proteome.	The data underlying this article are available in GitHub at https://github.com/ibivu/hydrophobic_patches. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36698978	10.1016/j.csbj.2022.12.044	2023-01-26	https://github.com/usubioinfo/profeatx	Computational and structural biotechnology journal	ProFeatX: A parallelized protein feature extraction suite for machine learning.	ProFeatX is implemented in C++ and available on GitHub at https://github.com/usubioinfo/profeatx. The web server is available at http://bioinfo.usu.edu/profeatx/.
36698967	10.1016/j.csbj.2022.12.051	2023-01-26	https://github.com/OluwadareLab/HiC-GNN	Computational and structural biotechnology journal	HiC-GNN: A generalizable model for 3D chromosome reconstruction using graph convolutional neural networks.	All our source codes and data are available at https://github.com/OluwadareLab/HiC-GNN.
36698768	10.1093/bioadv/vbad003	2023-01-26	https://github.com/CostaLab/scMEGA, https://costalab.github.io/scMEGA	Bioinformatics advances	scMEGA: single-cell multi-omic enhancer-based gene regulatory network inference.	scMEGA is implemented in R, released under the MIT license and available from https://github.com/CostaLab/scMEGA. Tutorials are available from https://costalab.github.io/scMEGA.
36698767	10.1093/bioadv/vbac100	2023-01-26	https://gitfront.io/r/user-4316673/36e8714573f3fbfa0b24690af5d1a9d5ca159cf4/scan/	Bioinformatics advances	Learning from small medical data-robust semi-supervised cancer prognosis classifier with Bayesian variational autoencoder.	The source codes reproducing the main results are available on GitHub: https://gitfront.io/r/user-4316673/36e8714573f3fbfa0b24690af5d1a9d5ca159cf4/scan/.
36698766	10.1093/bioadv/vbac099	2023-01-26	https://GlobeCorr.ca, https://github.com/brinkmanlab/globecorr	Bioinformatics advances	GlobeCorr: interactive globe-based visualization for correlation datasets.	See https://GlobeCorr.
36698762	10.1093/bioadv/vbac085	2023-01-26	https://github.com/bonsai-team/Porechop_ABI	Bioinformatics advances	Porechop_ABI: discovering unknown adapters in Oxford Nanopore Technology sequencing reads for downstream trimming.	The resulting software, named Porechop_ABI, is open-source and is available at https://github.com/bonsai-team/Porechop_ABI. Supplementary data are available at <i>Bioinformatics advances</i> online.
36698761	10.1093/bioadv/vbac096	2023-01-26	https://synthedia.org/, https://github.com/mgleeming/synthedia/	Bioinformatics advances	Simulation of mass spectrometry-based proteomics data with Synthedia.	Synthedia is freely available via the internet and can be used through a graphical website (https://synthedia.
36698760	10.1093/bioadv/vbac103	2023-01-26	https://github.com/ericzwang/RBD_AB	Bioinformatics advances	Prediction of antibody binding to SARS-CoV-2 RBDs.	The model and associated code are available for download at https://github.com/ericzwang/RBD_AB. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36698759	10.1093/bioadv/vbac094	2023-01-26	https://github.com/minotm/NTA	Bioinformatics advances	Nucleotide augmentation for machine learning-guided protein engineering.	The code used in this study is publicly available at https://github.com/minotm/NTA. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36698146	10.1186/s12967-023-03898-x	2023-01-25	https://github.com/ncbi/sra-tool	Journal of translational medicine	A multi-omic analysis reveals the esophageal dysbiosis as the predominant trait of eosinophilic esophagitis.	RNA-seq data of 18 different studies on EoE, downloaded from NCBI GEO with faster-qdump ( https://github.com/ncbi/sra-tools ), were batch-corrected and analyzed for transcriptomics and metatranscriptomics profiling as well as biological process functional enrichment.
36697671	10.1038/s42004-022-00754-9	2023-01-25	https://github.com/cole-group/FEgro	Communications chemistry	An open-source molecular builder and free energy preparation workflow.	FEgrow is freely available at https://github.com/cole-group/FEgrow , along with a tutorial.
36695755	10.1021/acs.jproteome.2c00558	2023-01-25	https://github.com/OUWuLab/TheDeuteriumCalculator.git	Journal of proteome research	The Deuterium Calculator: An Open-Source Tool for Hydrogen-Deuterium Exchange Mass Spectrometry Analysis.	The Deuterium Calculator is freely available for download at https://github.com/OUWuLab/TheDeuteriumCalculator.git. Data are available via ProteomeXchange with identifier PXD036813.
36695302	10.1111/1755-0998.13759	2023-01-25	github.com/sanjaynagi/rna-seq-pop	Molecular ecology resources	RNA-Seq-Pop: Exploiting the sequence in RNA-Seq - a Snakemake workflow reveals patterns of insecticide resistance in the malaria vector Anopheles gambiae.	RNA-Seq-Pop is hosted here github.com/sanjaynagi/rna-seq-pop. We anticipate that the workflow will provide a useful tool to facilitate reproducible, transcriptomic studies in An.
36694944	10.1093/bib/bbad018	2023-01-25	https://github.com/saizhou1/DeepGpgs	Briefings in bioinformatics	DeepGpgs: a novel deep learning framework for predicting arginine methylation sites combined with Gaussian prior and gated self-attention mechanism.	The open-source code and data of the DeepGpgs can be obtained from https://github.com/saizhou1/DeepGpgs.
36694721	10.18699/VJGB-22-97	2023-01-25	https://pypi.org/project/FastContext, https://github.com/regnveig/FastContext	Vavilovskii zhurnal genetiki i selektsii	FastContext: A tool for identification of adapters and other sequence patterns in next generation sequencing (NGS) data.	The FastContext package is available at the Python Package Index (https://pypi.
36694127	10.1186/s12859-022-05125-8	2023-01-24	https://nf-co.re/circrn, https://github.com/nf-core/circrn	BMC bioinformatics	nf-core/circrna: a portable workflow for the quantification, miRNA target prediction and differential expression analysis of circular RNAs.	Source code, documentation and installation instructions are freely available at https://nf-co.
36693629	10.1021/acs.jproteome.2c00629	2023-01-24	https://www.proteomicsml.org/, https://github.com/ProteomicsML/ProteomicsML	Journal of proteome research	ProteomicsML: An Online Platform for Community-Curated Data sets and Tutorials for Machine Learning in Proteomics.	The platform is freely available at https://www.proteomicsml.
36693148	10.2196/40403	2023-01-24		JMIR formative research	Development of COVID-19-related Anti-Asian Tweet Dataset: A Quantitative Study.	
36692152	10.1093/bioinformatics/btad046	2023-01-24	https://github.com/esbgkannan/phosformer	Bioinformatics (Oxford, England)	Phosformer: An explainable Transformer model for protein kinase-specific phosphorylation predictions.	Code and data are available at https://github.com/esbgkannan/phosformer. Supplementary data are available at Bioinformatics online.
36692145	10.1093/bioinformatics/btad052	2023-01-24	https://github.com/1075793472/AFTGAN	Bioinformatics (Oxford, England)	AFTGAN: Prediction of multi-type PPI based on attention free transformer and graph attention network.	The source code is publicly available at https://github.com/1075793472/AFTGAN. Supplementary data are available at Bioinformatics online.
36692140	10.1093/bioinformatics/btad054	2023-01-24	https://github.com/LiminLi-xjtu/BLTSA	Bioinformatics (Oxford, England)	BLTSA: pseudotime prediction for single cells by branched local tangent space alignment.	R codes are available at https://github.com/LiminLi-xjtu/BLTSA.
36692135	10.1093/bioinformatics/btad055	2023-01-24	https://github.com/minrq/pMHC	Bioinformatics (Oxford, England)	Binding Peptide Generation for MHC Class I Proteins with Deep Reinforcement Learning.	The software can be found in https://github.com/minrq/pMHC. Supplementary data are available at Bioinformatics online.
36692133	10.1093/bioinformatics/btad053	2023-01-24	https://github.com/openCONTRABASS/CONTRABAS	Bioinformatics (Oxford, England)	CONTRABASS: Exploiting flux constraints in genome-scale models for the detection of vulnerabilities.	CONTRABASS is available as an open source Python package at https://github.com/openCONTRABASS/CONTRABASS under GPL-3.
36692004	10.7554/eLife.69157	2023-01-24	https://github.com/smiranast/iROAR	eLife	The use of non-functional clonotypes as a natural calibrator for quantitative bias correction in adaptive immune receptor repertoire profiling.	Based on the OAR concept, we developed an original software for multiplex PCR-specific bias evaluation and correction named iROAR: Immune Repertoire Over Amplification Removal (https://github.com/smiranast/iROAR). The iROAR algorithm was successfully tested on previously published TCR repertoires obtained using both 5' RACE (Rapid Amplification of cDNA Ends)-based and multiplex PCR-based approaches and compared with a biological spike-in-based method for PCR bias evaluation.
36691163	10.1136/bmjopen-2021-058457	2023-01-23	https://project-thea.org, https://github.com/project-thea/	BMJ open	Developing digital contact tracing tailored to haulage in East Africa to support COVID-19 surveillance: a protocol.	This work will be disseminated through peer-reviewed publications, our websites https://project-thea.
36689556	10.1093/bioinformatics/btad022	2023-01-23	https://github.com/egeulgen/PANACEA.git	Bioinformatics (Oxford, England)	PANACEA: network-based methods for pharmacotherapy prioritization in personalized oncology.	(https://github.com/egeulgen/PANACEA.git). Supplementary data are available at Bioinformatics online.
36688724	10.1093/bioinformatics/btad049	2023-01-23	https://github.com/lennylv/CAPLA	Bioinformatics (Oxford, England)	CAPLA: improved prediction of protein-ligand binding affinity by a deep learning approach based on a cross-attention mechanism.	The source code of the method along with trained models are freely available at https://github.com/lennylv/CAPLA. Supplementary data are available at Bioinformatics online.
36688709	10.1093/bioinformatics/btad050	2023-01-23	https://github.com/gosling-lang/gos, https://gosling-lang.github.io/gos	Bioinformatics (Oxford, England)	Gos: a declarative library for interactive genomics visualization in Python.	The source code is publicly available on GitHub (https://github.com/gosling-lang/gos), and documentation with examples can be found at https://gosling-lang.github.io/gos.
36688705	10.1093/bioinformatics/btad048	2023-01-23	https://pypi.org/project/gothresher, https://anaconda.org/bioconda/gothresher, https://github.com/FriedbergLab/GOThreshe	Bioinformatics (Oxford, England)	GOThresher: a program to remove annotation biases from protein function annotation datasets.	The source code is hosted on GitHub https://github.com/FriedbergLab/GOThresher and distributed under the GPL 3.
36688702	10.1093/bioinformatics/btad045	2023-01-23	https://github.com/sugyun/DCGS	Bioinformatics (Oxford, England)	Global stabilizing control of large-scale biomolecular regulatory networks.	We provide a GitHub repository that contains the DCGS framework written in Python as well as biological random Boolean network datasets (https://github.com/sugyun/DCGS). Supplementary data are available at Bioinformatics online.
36688699	10.1093/bioinformatics/btad047	2023-01-23	https://github.com/krishnanlab/node2vecplus_benchmarks	Bioinformatics (Oxford, England)	Accurately modeling biased random walks on weighted networks using node2vec.	https://github.com/krishnanlab/node2vecplus_benchmarks. Supplementary data are available at Bioinformatics online.
36688696	10.1093/bioinformatics/btad051	2023-01-23	https://github.com/zhiyanov/DCoNA	Bioinformatics (Oxford, England)	Differential co-expression network analysis with DCoNA reveals isomiR targeting aberrations in prostate cancer.	Source code and documentation of DCoNA are available at https://github.com/zhiyanov/DCoNA. Supplementary data are available at Bioinformatics online.
36688569	10.1021/acs.jproteome.2c00616	2023-01-23	https://github.com/bittremieux/ANN-SoLo	Journal of proteome research	Semisupervised Machine Learning for Sensitive Open Modification Spectral Library Searching.	 license on GitHub at https://github.com/bittremieux/ANN-SoLo.
36688502	10.1021/acs.jproteome.2c00632	2023-01-23	https://github.com/bittremieux/spectrum_utils	Journal of proteome research	Unified and Standardized Mass Spectrometry Data Processing in Python Using spectrum_utils.	spectrum_utils is freely available as open source at https://github.com/bittremieux/spectrum_utils.
36688121	10.1007/s41666-022-00122-1	2023-01-23	https://github.com/hammoudiproject/SuperpixelGridMasks	Journal of healthcare informatics research	SuperpixelGridMasks Data Augmentation: Application to Precision Health and Other Real-world Data.	<i>SuperpixelGridCut</i>, <i>SuperpixelGridMean</i>, and <i>SuperpixelGridMix</i> codes are publicly available at https://github.com/hammoudiproject/SuperpixelGridMasks.
36686986		2023-01-23	https://github.com/healthylaife/MIMIC-IV-Data-Pipeline	Proceedings of machine learning research	An Extensive Data Processing Pipeline for MIMIC-IV.	The tool is publicly available at https://github.com/healthylaife/MIMIC-IV-Data-Pipeline.
36685885	10.3389/fgene.2022.1096797	2023-01-23	https://c.solargenomics.com, https://github.com/hello-json/CallerRecommendatio	Frontiers in genetics	Is an SV caller compatible with sequencing data? An online recommendation tool to automatically recommend the optimal caller based on data features.	In addition, the source code and a pre-trained model is available at https://github.com/hello-json/CallerRecommendation for academic usages only.
