PMID	PubDate	DOI	Journal	Title	Abstract	GitHub_link_raw	GitHub_link_clean	GitHub_owner	GitHub_repo	Repo_created_at	Repo_updated_at	Fork	In_SoftWH	Archived	Record_date	Min_date	Issue	Correct_link
34650190	2021-10-14	10.1038/s41598-021-99986-3	Scientific reports	Development and prospective validation of COVID-19 chest X-ray screening model for patients attending emergency departments.	Chest X-rays (CXRs) are the first-line investigation in patients presenting to emergency departments (EDs) with dyspnoea and are a valuable adjunct to clinical management of COVID-19 associated lung disease. Artificial intelligence (AI) has the potential to facilitate rapid triage of CXRs for further patient testing and/or isolation. In this work we develop an AI algorithm, CovIx, to differentiate normal, abnormal, non-COVID-19 pneumonia, and COVID-19 CXRs using a multicentre cohort of 293,143 CXRs. The algorithm is prospectively validated in 3289 CXRs acquired from patients presenting to ED with symptoms of COVID-19 across four sites in NHS Greater Glasgow and Clyde. CovIx achieves area under receiver operating characteristic curve for COVID-19 of 0.86, with sensitivity and F1-score up to 0.83 and 0.71 respectively, and performs on-par with four board-certified radiologists. AI-based algorithms can identify CXRs with COVID-19 associated pneumonia, as well as distinguish non-COVID pneumonias in symptomatic patients presenting to ED. Pre-trained models and inference scripts are freely available at https://github.com/beringresearch/bravecx-covid .	github.com/beringresearch/bravecx-covid	https://github.com/beringresearch/bravecx-covid/	beringresearch	bravecx-covid			0.0	0.0		2021-10-16	2021-10-14	repo deleted	
33200119	2020-09-16	10.26434/chemrxiv.12915779	ChemRxiv : the preprint server for chemistry	REDIAL-2020: A Suite of Machine Learning Models to Estimate Anti-SARS-CoV-2 Activities.	"Strategies for drug discovery and repositioning are an urgent need with respect to COVID-19. We developed ""REDIAL-2020"", a suite of machine learning models for estimating small molecule activity from molecular structure, for a range of SARS-CoV-2 related assays. Each classifier is based on three distinct types of descriptors (fingerprint, physicochemical, and pharmacophore) for parallel model development. These models were trained using high throughput screening data from the NCATS COVID19 portal (https://opendata.ncats.nih.gov/covid19/index.html), with multiple categorical machine learning algorithms. The ""best models"" are combined in an ensemble consensus predictor that outperforms single models where external validation is available. This suite of machine learning models is available through the DrugCentral web portal (<a href=""https://drugdiscovery.utep.edu/redial"">http://drugcentral.org/Redial</a>). Acceptable input formats are: drug name, PubChem CID, or SMILES; the output is an estimate of anti-SARS-CoV-2 activities. The web application reports estimated activity across three areas (,  and ) spanning six independent models, followed by a similarity search that displays the most similar molecules to the query among experimentally determined data. The ML models have 60% to 74% external predictivity, based on three separate datasets. Complementing the NCATS COVID19 portal, REDIAL-2020 can serve as a rapid online tool for identifying active molecules for COVID-19 treatment. The source code and specific models are available through Github (<a href=""https://github.com/sirimullalab/ncats_covid"">https://github.com/sirimullalab/</a>redial-2020), or via Docker Hub (https://hub.docker.com/r/sirimullalab/redial-2020) for users preferring a containerized version. "	"github.com/sirimullalab/ncats_covid"""	https://github.com/sirimullalab/ncats_covid/	sirimullalab	ncats_covid			0.0	0.0		2020-11-18	2020-09-16	repo deleted	
36383500	2022-07-09	10.1007/978-3-031-11203-4_12	Biomedical image registration : 10th international workshop, WBIR 2022, Munich, Germany, July 10-12, 2022 : proceedings. WBIR (Workshop : 2006- ) (10th : 2022 : Munich, Germany)	SuperWarp: Supervised Learning and Warping on U-Net for Invariant Subvoxel-Precise Registration.	In recent years, learning-based image registration methods have gradually moved away from direct supervision with target warps to instead use self-supervision, with excellent results in several registration benchmarks. These approaches utilize a loss function that penalizes the intensity differences between the fixed and moving images, along with a suitable regularizer on the deformation. However, since images typically have large untextured regions, merely maximizing similarity between the two images is not sufficient to recover the true deformation. This problem is exacerbated by texture in other regions, which introduces severe non-convexity into the landscape of the training objective and ultimately leads to overfitting. In this paper, we argue that the relative failure of supervised registration approaches can in part be blamed on the use of regular U-Nets, which are jointly tasked with feature extraction, feature matching and deformation estimation. Here, we introduce a simple but crucial modification to the U-Net that disentangles feature extraction and matching from deformation prediction, allowing the U-Net to warp the features, across levels, as the deformation field is evolved. With this modification, direct supervision using target warps begins to outperform self-supervision approaches that require segmentations, presenting new directions for registration when images do not have segmentations. We hope that our findings in this preliminary workshop paper will re-ignite research interest in supervised image registration techniques. Our code is publicly available from http://github.com/balbasty/superwarp.	github.com/balbasty/superwarp.	https://github.com/balbasty/superwarp/	balbasty	superwarp			0.0	0.0		2022-11-17	2022-07-09	repo deleted	
36525892	2022-11-19	10.1016/j.neunet.2022.11.014	Neural networks : the official journal of the International Neural Network Society	CT-Loc: Cross-domain visual localization with a channel-wise transformer.	We tackle the cross-domain visual localization problem of estimating camera position and orientation from real images without three-dimensional (3D) spatial mapping or modeling. Recent studies have shown suboptimal performance in this task owing to the photometric and geometric differences between synthetic and real images. In this study, we present a deep learning approach that uses a channel-wise transformer localization (CT-Loc) framework. Inspired by the human behavior of looking for structural landmarks to estimate one's location, CT-Loc encodes the most salient features of task-relevant objects in target scenes. To evaluate the efficacy of the proposed method in a real-world application, we built a complex and large-scale dataset of the interior of the mechanical room during operations and conducted extensive performance comparisons with the publicly available state-of-the-art University of Melbourne Corridor and Virtual KITTI 2 datasets. Compared with the otherwise best-performing BIM-PoseNet indoor camera localization model, our method significantly reduces position and orientation errors through the application of attention weights and saliency maps while also learning only the visual structural patterns (e.g., floors and doors) that are most relevant to localization tasks. Our model successfully ignores uninformative objects. This approach yields higher-level robust camera-pose regression localization results without requiring prebuilt maps. The code is available at https://github.com/kdaeho27/CT-Loc.	github.com/kdaeho27/CT-Loc.	https://github.com/kdaeho27/CT-Loc/	kdaeho27	CT-Loc			0.0	0.0		2022-12-17	2022-11-19	repo deleted	
29037244	2017-10-16	10.1186/s12967-017-1304-7	Journal of translational medicine	Prediction of microbe-disease association from the integration of neighbor and graph with collaborative recommendation model.	[OrderedDict([('@Label', 'BACKGROUND'), ('#text', 'Accumulating clinical researches have shown that specific microbes with abnormal levels are closely associated with the development of various human diseases. Knowledge of microbe-disease associations can provide valuable insights for complex disease mechanism understanding as well as the prevention, diagnosis and treatment of various diseases. However, little effort has been made to predict microbial candidates for human complex diseases on a large scale.')]), OrderedDict([('@Label', 'METHODS'), ('#text', 'In this work, we developed a new computational model for predicting microbe-disease associations by combining two single recommendation methods. Based on the assumption that functionally similar microbes tend to get involved in the mechanism of similar disease, we adopted neighbor-based collaborative filtering and a graph-based scoring method to compute association possibility of microbe-disease pairs. The promising prediction performance could be attributed to the use of hybrid approach based on two single recommendation methods as well as the introduction of Gaussian kernel-based similarity and symptom-based disease similarity.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'To evaluate the performance of the proposed model, we implemented leave-one-out and fivefold cross validations on the HMDAD database, which is recently built as the first database collecting experimentally-confirmed microbe-disease associations. As a result, NGRHMDA achieved reliable results with AUCs of 0.9023\xa0±\xa00.0031 and 0.9111 in the validation frameworks of fivefold CV and LOOCV. In addition, 78.2% microbe samples and 66.7% disease samples are found to be consistent with the basic assumption of our work that microbes tend to get involved in the similar disease clusters, and vice versa.')]), OrderedDict([('@Label', 'CONCLUSIONS'), ('#text', 'Compared with other methods, the prediction results yielded by NGRHMDA demonstrate its effective prediction performance for microbe-disease associations. It is anticipated that NGRHMDA can be used as a useful tool to search the most potential microbial candidates for various diseases, and therefore boosts the medical knowledge and drug development. The codes and dataset of our work can be downloaded from https://github.com/yahuang1991/NGRHMDA .')])]	github.com/yahuang1991/NGRHMDA	https://github.com/yahuang1991/NGRHMDA/	yahuang1991	NGRHMDA			0.0	0.0		2017-10-19	2017-10-16	repo deleted	
35713588	2020-09-26	10.1007/978-3-030-60548-3_9	Domain adaptation and representation transfer, and distributed and collaborative learning : second MICCAI Workshop, DART 2020, and first MICCAI Workshop, DCL 2020, held in conjunction with MICCAI 2020, Lima, Peru, October 4-8, 2020, Pro...	Parts2Whole: Self-supervised Contrastive Learning via Reconstruction.	Contrastive representation learning is the state of the art in computer vision, but requires huge mini-batch sizes, special network design, or memory banks, making it unappealing for 3D medical imaging, while in 3D medical imaging, reconstruction-based self-supervised learning reaches a new height in performance, but lacks mechanisms to learn contrastive representation; therefore, this paper proposes a new framework for self-supervised contrastive learning via reconstruction, called Parts2Whole, because it exploits the  and  part-whole relationship to learn contrastive representation without using contrastive loss: Reconstructing an image (whole) from its own parts compels the model to learn similar latent features for all its own parts, while reconstructing different images (wholes) from their respective parts forces the model to simultaneously push those parts belonging to different wholes farther apart from each other in the latent space; thereby the trained model is capable of distinguishing images. We have evaluated our Parts2Whole on five distinct imaging tasks covering both classification and segmentation, and compared it with four competing publicly available 3D pretrained models, showing that Parts2Whole significantly outperforms in two out of five tasks while achieves competitive performance on the rest three. This superior performance is attributable to the contrastive representations learned with Parts2Whole. Codes and pretrained models are available at github.com/JLiangLab/Parts2Whole. 	github.com/JLiangLab/Parts2Whole.	https://github.com/JLiangLab/Parts2Whole/	JLiangLab	Parts2Whole			0.0	0.0		2020-10-01	2020-09-26	repo deleted	
36244303	2022-09-30	10.1016/j.compbiomed.2022.106151	Computers in biology and medicine	NSCGCN: A novel deep GCN model to diagnosis COVID-19.	[OrderedDict([('@Label', 'AIM'), ('@NlmCategory', 'OBJECTIVE'), ('#text', 'Corona Virus Disease 2019 (COVID-19) was a lung disease with high mortality and was highly contagious. Early diagnosis of COVID-19 and distinguishing it from pneumonia was beneficial for subsequent treatment.')]), OrderedDict([('@Label', 'OBJECTIVES'), ('@NlmCategory', 'OBJECTIVE'), ('#text', 'Recently, Graph Convolutional Network (GCN) has driven a significant contribution to disease diagnosis. However, limited by the nature of the graph convolution algorithm, deep GCN has an over-smoothing problem. Most of the current GCN models are shallow neural networks, which do not exceed five layers. Furthermore, the objective of this study is to develop a novel deep GCN model based on the DenseGCN and the pre-trained model of deep Convolutional Neural Network (CNN) to complete the diagnosis of chest X-ray (CXR) images.')]), OrderedDict([('@Label', 'METHODS'), ('@NlmCategory', 'METHODS'), ('#text', 'We apply the pre-trained model of deep CNN to perform feature extraction on the data to complete the extraction of pixel-level features in the image. And then, to extract the potential relationship between the obtained features, we propose Neighbourhood Feature Reconstruction Algorithm to reconstruct them into graph-structured data. Finally, we design a deep GCN model that exploits the graph-structured data to diagnose COVID-19 effectively. In the deep GCN model, we propose a Node-Self Convolution Algorithm (NSC) based on feature fusion to construct a deep GCN model called NSCGCN (Node-Self Convolution Graph Convolutional Network).')]), OrderedDict([('@Label', 'RESULTS'), ('@NlmCategory', 'RESULTS'), ('#text', 'Experiments were carried out on the Computed Tomography (CT) and CXR datasets. The results on the CT dataset confirmed that: compared with the six state-of-the-art (SOTA) shallow GCN models, the accuracy and sensitivity of the proposed NSCGCN had improve 8% as sensitivity (Sen.)\xa0=\xa087.50%, F1 score\xa0=\xa097.37%, precision (Pre.)\xa0=\xa089.10%, accuracy (Acc.)\xa0=\xa097.50%, area under the ROC curve (AUC)\xa0=\xa097.09%. Moreover, the results on the CXR dataset confirmed that: compared with the fourteen SOTA GCN models, sixteen SOTA CNN transfer learning models and eight SOTA COVID-19 diagnosis methods on the COVID-19 dataset. Our proposed method had best performances as Sen.\xa0=\xa096.45%, F1 score\xa0=\xa096.45%, Pre.\xa0=\xa096.61%, Acc.\xa0=\xa096.45%, AUC\xa0=\xa099.22%.')]), OrderedDict([('@Label', 'CONCLUSION'), ('@NlmCategory', 'CONCLUSIONS'), ('#text', 'Our proposed NSCGCN model is effective and performed better than the thirty-eight SOTA methods. Thus, the proposed NSC could help build deep GCN models. Our proposed COVID-19 diagnosis method based on the NSCGCN model could help radiologists detect pneumonia from CXR images and distinguish COVID-19 from Ordinary Pneumonia (OPN). The source code of this work will be publicly available at https://github.com/TangChaosheng/NSCGCN.')])]	github.com/TangChaosheng/NSCGCN.	https://github.com/TangChaosheng/NSCGCN/	TangChaosheng	NSCGCN			0.0	0.0		2022-10-17	2022-09-30	repo deleted	
28269829	2017-02-10		AMIA ... Annual Symposium proceedings. AMIA Symposium	"Safe ""cloudification"" of large images through picker APIs."	"The ""Box model"" allows users with no particular training in informatics, or access to specialized infrastructure, operate generic cloud computing resources through a temporary URI dereferencing mechanism known as ""drop-file-picker API"" (""picker API"" for sort). This application programming interface (API) was popularized in the web app development community by DropBox, and is now a consumer-facing feature of all major cloud computing platforms such as Box.com, Google Drive and Amazon S3. This reports describes a prototype web service application that uses picker APIs to expose a new, ""cloudified"", API tailored for image analysis, without compromising the private governance of the data exposed. In order to better understand this cross-platform cloud computing landscape, we first measured the time for both transfer and traversing of large image files generated by whole slide imaging (WSI) in Digital Pathology. The verification that there is extensive interconnectivity between cloud resources let to the development of a prototype software application that exposes an image-traversing REST API to image files stored in any of the consumer-facing ""boxes"". In summary, an image file can be upload/synchronized into a any cloud resource with a file picker API and the prototype service described here will expose an HTTP REST API that remains within the safety of the user's own governance. The open source prototype is publicly available at sbu-bmi.github.io/imagebox. Availability The accompanying prototype application is made publicly available, fully functional, with open source, at http://sbu-bmi.github.io/imagebox://sbu-bmi.github.io/imagebox. An illustrative webcasted use of this Web App is included with the project codebase at https://github.com/SBU-BMI/imageboxs://github.com/SBU-BMI/imagebox."	github.com/SBU-BMI/imageboxs	https://github.com/SBU-BMI/imageboxs/	SBU-BMI	imageboxs			0.0	0.0		2017-03-09	2017-02-10	repo deleted	
35947011	2022-08-10	10.1094/PDIS-06-22-1325-PDN	Plant disease	First report of Impatiens necrotic spot orthotospovirus infecting Tulbaghia violacia Harv. in China.	Tulbaghia violacea Harv. indigenous to southern African countries, is an herbaceous perennial bulbous plant belonging to the family Amaryllidaceae. It is a popular garden plant in China. This attractive plant is traditionally used as medicine and repellent (Kubec et al. 2002; Moodley et al. 2015). In June 2021, T. violacea plants showing typical tospovirus-like symptoms of chlorotic rings patterns, were found at the campus of Yunnan University of Chinese Medicine (Fig.S1). Disease incidence was about 11.0% during the field survey. Total RNA was extracted from symptomatic leaves of T. violacea plants using the TRIzol reagent (ambio, Carlsbad, CA). Reverse transcription (RT)-PCR was conducted to identify the virus using RNA extract as the template. The degenerate primers (dTospo-F2 and dTospo-R2) (Huang et al. 2018) were used to amplify the conserved regions of the orthotospoviral L RNA sequences. No amplification was obtained from extracts of two asymptomatic plants. The amplicons from four symptomatic samples were cloned into the pMD19-T vector (TaKaRa) and sequenced (three clones for each amplicon) by Tsingke (Shanghai, China). The obtained DNA fragments were determined to be 312 bp. The sequences from four symptomatic samples were identical (GenBank acc.no. OK258285) and shared the highest nucleotide identities (98.0%) with a corresponding sequence of segment L of impatiens necrotic spot virus (INSV) isolated (GQ336991) from Phalaenopsis amabilis in Yunnan province, China. To further confirm the INSV infection to T. violacea, the samples were analyzed with the specific primers for the N, NSs and NSm genes of INSV (Table S1), respectively. Amplicons of the expected size, 789 bp, 1344 bp and 912 bp, were produced, respectively. Amplicons were cloned and sequenced. The 789-bp N (ON529554) and 1344-bp NSs (ON529554) gene sequences had 99.1% and 99.3% nucleotide identities with the corresponding region of previously described INSV Phalenopsis isolate (GQ336989), respectively. The 912-bp NSm (ON529553) gene sequence shared 99.5% nucleotide identity with the corresponding region of INSV Phalenopsis isolate (GQ336990). Metavirome and Sanger sequencing were used to complete the genome of INSV from T. violacea. The leaves of the symptomatic sample were used to construct an rRNA-depleted library using Nextera XT reagents (Illumina, San Diego, CA). The library was subjected to RNA-Seq a NovaSeq 6000 platform (Illumina, San Diego, CA). A total of 33,193,233 quality-filtered reads were obtained using BBMAP (https://github.com/BioInfoTools/BBMapBBMap - Bushnell B. - sourceforge.net/projects/bbmap/). Among 161052 reads mapped to virus sequences, 151407 reads (read ratios 94.0%) were mapped to INSV. Three complete segments of INSV genome were determined to 8,778 nt (L segment, Acc. No. ON529552), 4,958 nt (M segment, Acc. No. ON529553), and 2,983 nt (S segment, Acc. No. ON529554) in length. These segments were validated by RT-PCR and Sanger sequencing. Three segments share nucleotide sequence identities of 99.6%, 99.3% and 98.9% with the L (GQ336991), M (GQ336990) and S segments (GQ336989) of INSV Phalenopsis isolate, respectively. The results of sequence comparisons showed no evidence of reassortment between INSV and another orthotospovirus. There was a report of tomato spotted wilt virus infecting T. violacea in Florida, USA (Dey et al. 2019). No other virus infecting T. violacea was reported. INSV has been reported to infect several economically important crops including Phalenopsis, pepper etc. in China (Chen et al. 2016). INSV-infected T. violacea not only losses landscaping value but also plays an important intermedia host role in the spread of INSV. Additional surveys and evaluation will be needed to understand the potential medicinal effect of this virus on this plant. To our knowledge, this is first report of INSV in T. violacea.	github.com/BioInfoTools/BBMapBBMap\xa0-\xa0Bushnell\xa0B.\xa0-\xa0sourceforge.net/projects/bbmap/	https://github.com/BioInfoTools/BBMapBBMapxa0-xa0Bushnellxa0B.xa0-xa0sourceforge.net/projects/bbmap/	BioInfoTools	BBMapBBMapxa0-xa0Bushnellxa0B.xa0-xa0sourceforge.net			0.0	0.0		2022-08-11	2022-08-10	wrong link	https://github.com/BioInfoTools/BBMap/
35767510	2022-10-27	10.1109/TMI.2022.3186677	IEEE transactions on medical imaging	Contrastive and Selective Hidden Embeddings for Medical Image Segmentation.	Medical image segmentation is fundamental and essential for the analysis of medical images. Although prevalent success has been achieved by convolutional neural networks (CNN), challenges are encountered in the domain of medical image analysis by two aspects: 1) lack of discriminative features to handle similar textures of distinct structures and 2) lack of selective features for potential blurred boundaries in medical images. In this paper, we extend the concept of contrastive learning (CL) to the segmentation task to learn more discriminative representation. Specifically, we propose a novel patch-dragsaw contrastive regularization (PDCR) to perform patch-level tugging and repulsing. In addition, a new structure, namely uncertainty-aware feature re- weighting block (UAFR), is designed to address the potential high uncertainty regions in the feature maps and serves as a better feature re- weighting. Our proposed method achieves state-of-the-art results across 8 public datasets from 6 domains. Besides, the method also demonstrates robustness in the limited-data scenario. The code is publicly available at https://github.com/lzh19961031/PDCR_UAFR-MIShttps://github.com/lzh19961031/PDCR_UAFR-MIS.	github.com/lzh19961031/PDCR_UAFR-MIShttps	https://github.com/lzh19961031/PDCR_UAFR-MIShttps/	lzh19961031	PDCR_UAFR-MIShttps			0.0	0.0		2022-06-30	2022-06-30	wrong link	https://github.com/lzh19961031/PDCR_UAFR-MIS/
35239482	2022-03-15	10.1109/TIP.2022.3154614	IEEE transactions on image processing : a publication of the IEEE Signal Processing Society	TDPN: Texture and Detail-Preserving Network for Single Image Super-Resolution.	Single image super-resolution (SISR) using deep convolutional neural networks (CNNs) achieves the state-of-the-art performance. Most existing SISR models mainly focus on pursuing high peak signal-to-noise ratio (PSNR) and neglect textures and details. As a result, the recovered images are often perceptually unpleasant. To address this issue, in this paper, we propose a texture and detail-preserving network (TDPN), which focuses not only on local region feature recovery but also on preserving textures and details. Specifically, the high-resolution image is recovered from its corresponding low-resolution input in two branches. First, a multi-reception field based branch is designed to let the network fully learn local region features by adaptively selecting local region features in different reception fields. Then, a texture and detail-learning branch supervised by the textures and details decomposed from the ground-truth high resolution image is proposed to provide additional textures and details for the super-resolution process to improve the perceptual quality. Finally, we introduce a gradient loss into the SISR field and define a novel hybrid loss to strengthen boundary information recovery and to avoid overly smooth boundary in the final recovered high-resolution image caused by using only the MAE loss. More importantly, the proposed method is model-agnostic, which can be applied to most off-the-shelf SISR networks. The experimental results on public datasets demonstrate the superiority of our TDPN on most state-of-the-art SISR methods in PSNR, SSIM and perceptual quality. We will share our code on https://github.com/tocaiqing/TDPN.	github.com/tocaiqing/TDPN.	https://github.com/tocaiqing/TDPN/	tocaiqing	TDPN			0.0	0.0		2022-03-04	2022-03-04	repo deleted	
30592175	2018-12-27	10.1002/brb3.1191	Brain and behavior	Copula directional dependence for inference and statistical analysis of whole-brain connectivity from fMRI data.	[OrderedDict([('@Label', 'INTRODUCTION'), ('#text', 'Inferring connectivity between brain regions has been raising a lot of attention in recent decades. Copula directional dependence (CDD) is a statistical measure of directed connectivity, which does not require strict assumptions on probability distributions and linearity.')]), OrderedDict([('@Label', 'METHODS'), ('#text', 'In this work, CDDs between pairs of local brain areas were estimated based on the fMRI responses of human participants watching a Pixar animation movie. A directed connectivity map of fourteen predefined local areas was obtained for each participant, where the network structure was determined by the strengths of the CDDs. A resampling technique was further applied to determine the statistical significance of the connectivity directions in the networks. In order to demonstrate the effectiveness of the suggested method using CDDs, statistical group analysis was conducted based on graph theoretic measures of the inferred directed networks and CDD intensities. When the 129 fMRI participants were grouped by their age (3-5 year-old, 7-12 year-old, adult) and gender (F, M), nonparametric two-way analysis of variance (ANOVA) results could identify which cortical regions and connectivity structures correlated with the two physiological factors.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'Especially, we could identify that (a) graph centrality measures of the frontal eye fields (FEF), the inferior temporal gyrus (ITG), and the temporopolar area (TP) were significantly affected by aging, (b) CDD intensities between FEF and the primary motor cortex (M1) and between ITG and TP were highly significantly affected by aging, and (c) CDDs between M1 and the anterior prefrontal cortex (aPFC) were highly significantly affected by gender.')]), OrderedDict([('@Label', 'SOFTWARE'), ('#text', 'The R source code for fMRI data preprocessing, estimation of directional dependences, network visualization, and statistical analyses are available at https://github.com/namgillee/CDDforFMRI.')])]	github.com/namgillee/CDDforFMRI.	https://github.com/namgillee/CDDforFMRI/	namgillee	CDDforFMRI			0.0	1.0	2020-03-30	2018-12-29	2018-12-27	repo deleted	
32525207	2020-01-01	10.1093/database/baaa041	Database : the journal of biological databases and curation	Identifying main finding sentences in clinical case reports.	Clinical case reports are the 'eyewitness reports' of medicine and provide a valuable, unique, albeit noisy and underutilized type of evidence. Generally, a case report has a single main finding that represents the reason for writing up the report in the first place. However, no one has previously created an automatic way of identifying main finding sentences in case reports. We previously created a manual corpus of main finding sentences extracted from the abstracts and full text of clinical case reports. Here, we have utilized the corpus to create a machine learning-based model that automatically predicts which sentence(s) from abstracts state the main finding. The model has been evaluated on a separate manual corpus of clinical case reports and found to have good performance. This is a step toward setting up a retrieval system in which, given one case report, one can find other case reports that report the same or very similar main findings. The code and necessary files to run the main finding model can be downloaded from https://github.com/qi29/main_ finding_recognition, released under the Apache License, Version 2.0.	github.com/qi29/main_	https://github.com/qi29/main_/	qi29	main_			0.0	0.0		2020-06-12	2020-01-01	wrong link	https://github.com/qi29/main_finding_recognition/
29914482	2018-06-19	10.1186/s12918-018-0594-6	BMC systems biology	RACIPE: a computational tool for modeling gene regulatory circuits using randomization.	[OrderedDict([('@Label', 'BACKGROUND'), ('#text', 'One of the major challenges in traditional mathematical modeling of gene regulatory circuits is the insufficient knowledge of kinetic parameters. These parameters are often inferred from existing experimental data and/or educated guesses, which can be time-consuming and error-prone, especially for large networks.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'We present a user-friendly computational tool for the community to use our newly developed method named random circuit perturbation (RACIPE), to explore the robust dynamical features of gene regulatory circuits without the requirement of detailed kinetic parameters. Taking the network topology as the only input, RACIPE generates an ensemble of circuit models with distinct randomized parameters and uniquely identifies robust dynamical properties by statistical analysis. Here, we discuss the implementation of the software and the statistical analysis methods of RACIPE-generated data to identify robust gene expression patterns and the functions of genes and regulatory links. Finally, we apply the tool on coupled toggle-switch circuits and a published circuit of B-lymphopoiesis.')]), OrderedDict([('@Label', 'CONCLUSIONS'), ('#text', 'We expect our new computational tool to contribute to a more comprehensive and unbiased understanding of mechanisms underlying gene regulatory networks. RACIPE is a free open source software distributed under (Apache 2.0) license and can be downloaded from GitHub ( https://github.com/simonhb1990/RACIPE-1.0 ).')])]	github.com/simonhb1990/RACIPE-1.0	https://github.com/simonhb1990/RACIPE-1/	simonhb1990	RACIPE-1			0.0	0.0		2018-06-20	2018-06-19	regex problem	https://github.com/simonhb1990/RACIPE-1.0
29293920	2018-06-15	10.1093/bioinformatics/btx837	Bioinformatics (Oxford, England)	Towards self-learning based hypotheses generation in biomedical text domain.	[OrderedDict([('@Label', 'MOTIVATION'), ('#text', 'The overwhelming amount of research articles in the domain of bio-medicine might cause important connections to remain unnoticed. Literature Based Discovery is a sub-field within biomedical text mining that peruses these articles to formulate high confident hypotheses on possible connections between medical concepts. Although many alternate methodologies have been proposed over the last decade, they still suffer from scalability issues. The primary reason, apart from the dense inter-connections between biological concepts, is the absence of information on the factors that lead to the edge-formation. In this work, we formulate this problem as a collaborative filtering task and leverage a relatively new concept of word-vectors to learn and mimic the implicit edge-formation process. Along with single-class classifier, we prune the search-space of redundant and irrelevant hypotheses to increase the efficiency of the system and at the same time maintaining and in some cases even boosting the overall accuracy.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'We show that our proposed framework is able to prune up to 90% of the hypotheses while still retaining high recall in top-K results. This level of efficiency enables the discovery algorithm to look for higher-order hypotheses, something that was infeasible until now. Furthermore, the generic formulation allows our approach to be agile to perform both open and closed discovery. We also experimentally validate that the core data-structures upon which the system bases its decision has a high concordance with the opinion of the experts.This coupled with the ability to understand the edge formation process provides us with interpretable results without any manual intervention.')]), OrderedDict([('@Label', 'AVAILABILITY AND IMPLEMENTATION'), ('#text', 'The relevant JAVA codes are available at: https://github.com/vishrawas/Medline-Code_v2.')]), OrderedDict([('@Label', 'SUPPLEMENTARY INFORMATION'), ('#text', 'Supplementary data are available at Bioinformatics online.')])]	github.com/vishrawas/Medline-Code_v2.	https://github.com/vishrawas/Medline-Code_v2/	vishrawas	Medline-Code_v2			0.0	0.0		2018-01-03	2018-01-03	wrong link	https://github.com/vishrawas/Medline--code_v2/
33557755	2021-02-08	10.1186/s12859-020-03901-y	BMC bioinformatics	NGlyAlign: an automated library building tool to align highly divergent HIV envelope sequences.	[OrderedDict([('@Label', 'BACKGROUND'), ('@NlmCategory', 'BACKGROUND'), ('#text', 'The high variability in envelope regions of some viruses such as HIV allow the virus to establish infection and to escape subsequent immune surveillance. This variability, as well as increasing incorporation of N-linked glycosylation sites, is fundamental to this evasion. It also creates difficulties for multiple sequence alignment methods (MSA) that provide the first step in their analysis. Existing MSA tools often fail to properly align highly variable HIV envelope sequences requiring extensive manual editing that is impractical with even a moderate number of these variable sequences.')]), OrderedDict([('@Label', 'RESULTS'), ('@NlmCategory', 'RESULTS'), ('#text', 'We developed an automated library building tool NGlyAlign, that organizes similar N-linked glycosylation sites as block constraints and statistically conserved global sites as single site constraints to automatically enforce partial columns in consistency-based MSA methods such as Dialign. This combined method accurately aligns variable HIV-1 envelope sequences. We tested the method on two datasets: a set of 156 founder and chronic gp160 HIV-1 subtype B sequences as well as a set of reference sequences of gp120 in the highly variable region 1. On measures such as entropy scores, sum of pair scores, column score, and similarity heat maps, NGlyAlign+Dialign proved superior against methods such as T-Coffee, ClustalOmega, ClustalW, Praline, HIValign and Muscle. The method is scalable to large sequence sets producing accurate alignments without requiring manual editing. As well as this application to HIV, our method can be used for other highly variable glycoproteins such as hepatitis C virus envelope.')]), OrderedDict([('@Label', 'CONCLUSIONS'), ('@NlmCategory', 'CONCLUSIONS'), ('#text', 'NGlyAlign is an automated tool for mapping and building glycosylation motif libraries to accurately align highly variable regions in HIV sequences. It can provide the basis for many studies reliant on single robust alignments. NGlyAlign has been developed as an open-source tool and is freely available at https://github.com/UNSW-Mathematical-Biology/NGlyAlign_v1.0 .')])]	github.com/UNSW-Mathematical-Biology/NGlyAlign_v1.0	https://github.com/UNSW-Mathematical-Biology/NGlyAlign_v1/	UNSW-Mathematical-Biology	NGlyAlign_v1			0.0	0.0		2021-02-10	2021-02-08	regex problem	https://github.com/UNSW-Mathematical-Biology/NGlyAlign_v1.0/
